,Country,2020 AVG,Life Ladder
0,Bangladesh,77.1,5.28
1,India,51.9,4.225
2,Mongolia,46.6,6.011
3,Kyrgyzstan,43.5,6.25
4,Bahrain,39.7,6.172999999999999
5,China,34.7,5.771
6,Tajikistan,30.9,5.372999999999999
7,North Macedonia,30.6,5.053999999999999
8,Myanmar,29.4,4.431
9,United Arab Emirates,29.2,6.457999999999999
10,Bulgaria,27.5,5.598
11,Iran,27.2,4.865
12,Ghana,26.9,5.319
13,Montenegro,26.1,5.722
14,Uganda,26.1,4.641
15,Serbia,24.3,6.042000000000001
16,Saudi Arabia,23.3,6.56
17,Laos,22.4,5.284
18,Ivory Coast,21.9,5.257000000000001
19,Kazakhstan,21.9,6.167999999999999
20,Thailand,21.4,5.885
21,Croatia,21.2,6.507999999999999
22,Cambodia,21.1,4.377
23,Georgia,20.4,5.122999999999999
24,Kosovo,20.0,6.294
25,South Korea,19.5,5.792999999999999
26,Chile,19.3,6.151
27,Ukraine,19.2,5.27
28,Mexico,18.9,5.9639999999999995
29,Turkey,18.7,4.862
30,Italy,18.5,6.4879999999999995
31,Greece,18.4,5.787999999999999
32,South Africa,18.0,4.947
33,Poland,16.9,6.138999999999999
34,Israel,16.9,7.195
35,Albania,16.0,5.365
36,Cyprus,15.8,6.26
37,Colombia,15.6,5.709
38,Slovakia,15.3,6.519
39,Jordan,14.9,4.093999999999999
40,Ethiopia,14.7,4.5489999999999995
41,Hungary,14.3,6.037999999999999
42,Argentina,14.2,5.901
43,Kenya,14.2,4.547
44,Brazil,14.2,6.11
45,Philippines,12.8,5.08
46,Czech Republic,12.3,6.897
47,Malta,11.8,6.157
48,Lithuania,11.7,6.391
49,Latvia,11.3,6.229
50,France,11.1,6.7139999999999995
51,Austria,10.9,7.212999999999999
52,Spain,10.4,6.502000000000001
53,Germany,10.1,7.312
54,Japan,9.8,6.117999999999999
55,Netherlands,9.7,7.504
56,Denmark,9.4,7.515
57,Russia,9.3,5.495
58,Portugal,9.1,5.768
59,Switzerland,9.0,7.507999999999999
60,Belgium,8.9,6.8389999999999995
61,Ireland,8.6,7.035
62,United Kingdom,8.3,6.797999999999999
63,Ecuador,7.6,5.354
64,Australia,7.6,7.1370000000000005
65,Canada,7.3,7.025
66,Iceland,7.2,7.575
67,New Zealand,7.0,7.257000000000001
68,Estonia,5.9,6.452999999999999
69,Norway,5.7,7.29
70,Finland,5.0,7.888999999999999
71,Sweden,5.0,7.314
