,Country,GII Value,Life Ladder
0,Switzerland,0.025,7.694
1,Norway,0.038,7.442
2,Finland,0.039,7.78
3,Netherlands,0.043,7.425
4,Denmark,0.043,7.693
5,Sweden,0.045,7.398
6,Belgium,0.045,6.772
7,South Korea,0.047,5.903
8,France,0.049,6.69
9,Iceland,0.057999999999999996,7.5329999999999995
10,Slovenia,0.063,6.665
11,Luxembourg,0.065,7.404
12,Singapore,0.065,6.377999999999999
13,Austria,0.069,7.195
14,Italy,0.069,6.445
15,Spain,0.07,6.457000000000001
16,Japan,0.075,5.9079999999999995
17,Portugal,0.079,6.095
18,Canada,0.08,7.109
19,Germany,0.084,7.035
20,Cyprus,0.086,6.1370000000000005
21,Estonia,0.086,6.035
22,Ireland,0.09300000000000001,7.255
23,New Zealand,0.094,7.205
24,Australia,0.09699999999999999,7.234
25,United Kingdom,0.109,7.157
26,Montenegro,0.109,5.386
27,Poland,0.115,6.242000000000001
28,Greece,0.11599999999999999,5.952000000000001
29,Croatia,0.11599999999999999,5.626
30,Belarus,0.11800000000000001,5.821000000000001
31,Israel,0.12300000000000001,7.332000000000001
32,Lithuania,0.124,6.064
33,Serbia,0.132,6.2410000000000005
34,Bosnia and Herzegovina,0.149,6.016
35,China,0.168,5.144
36,Malta,0.175,6.733
37,Latvia,0.17600000000000002,5.97
38,Albania,0.18100000000000002,4.995
39,Kazakhstan,0.19,6.272
40,Slovakia,0.191,6.242999999999999
41,United States,0.204,6.944
42,Moldova,0.204,5.803
43,Bulgaria,0.20600000000000002,5.1080000000000005
44,Bahrain,0.212,7.098
45,Hungary,0.233,6.0
46,Ukraine,0.23399999999999999,4.702
47,Kuwait,0.242,6.106
48,Armenia,0.245,5.4879999999999995
49,Chile,0.247,5.942
50,Libya,0.252,5.33
51,Saudi Arabia,0.252,6.561
52,Malaysia,0.253,5.428
53,Romania,0.276,6.13
54,Uruguay,0.28800000000000003,6.6
55,Uzbekistan,0.28800000000000003,6.154
56,Costa Rica,0.28800000000000003,6.997999999999999
57,Tunisia,0.29600000000000004,4.315
58,Turkey,0.306,4.872
59,Tajikistan,0.314,5.4639999999999995
60,Mongolia,0.322,5.563
61,Mexico,0.322,6.432
62,Azerbaijan,0.32299999999999995,5.172999999999999
63,Argentina,0.32799999999999996,6.086
64,Georgia,0.331,4.8919999999999995
65,Mauritius,0.34700000000000003,6.2410000000000005
66,Thailand,0.359,6.022
67,Kyrgyzstan,0.369,5.685
68,El Salvador,0.38299999999999995,6.455
69,Ecuador,0.384,5.809
70,Peru,0.395,5.999
71,Jamaica,0.396,6.309
72,Sri Lanka,0.401,4.213
73,Rwanda,0.402,3.2680000000000002
74,South Africa,0.406,5.035
75,Panama,0.40700000000000003,6.086
76,Brazil,0.408,6.4510000000000005
77,Lebanon,0.41100000000000003,4.024
78,Bolivia,0.41700000000000004,5.6739999999999995
79,Honduras,0.423,5.93
80,Colombia,0.428,6.35
81,Nicaragua,0.428,6.1129999999999995
82,Algeria,0.429,4.745
83,Philippines,0.43,6.268
84,Namibia,0.44,4.436
85,Paraguay,0.446,5.653
86,Egypt,0.449,4.328
87,Jordan,0.45,4.453
88,Nepal,0.452,5.449
89,Morocco,0.45399999999999996,5.0569999999999995
90,Dominican Republic,0.455,6.004
91,Laos,0.45899999999999996,5.197
92,Iran,0.45899999999999996,5.006
93,Botswana,0.465,3.471
94,Cambodia,0.474,4.998
95,Myanmar,0.478,4.434
96,Venezuela,0.479,5.081
97,Guatemala,0.479,6.2620000000000005
98,Indonesia,0.48,5.347
99,India,0.488,3.2489999999999997
100,Ethiopia,0.517,4.1
101,Kenya,0.518,4.619
102,Mozambique,0.523,4.9319999999999995
103,Gabon,0.525,4.914
104,Zimbabwe,0.527,2.694
105,Senegal,0.5329999999999999,5.489
106,Uganda,0.535,4.948
107,Bangladesh,0.537,5.114
108,Ghana,0.5379999999999999,4.967
109,Pakistan,0.5379999999999999,4.4430000000000005
110,Zambia,0.539,3.307
111,Lesotho,0.5529999999999999,3.512
112,Tanzania,0.556,3.64
113,Cameroon,0.56,4.937
114,Malawi,0.565,3.8689999999999998
115,Togo,0.573,4.178999999999999
116,Burkina Faso,0.594,4.7410000000000005
117,Benin,0.612,4.976
118,Gambia,0.612,5.164
119,Mauritania,0.634,4.1530000000000005
120,Niger,0.642,5.004
121,Sierra Leone,0.644,3.447
122,Liberia,0.65,5.121
123,Afghanistan,0.655,2.375
124,Mali,0.6709999999999999,4.988
125,Chad,0.71,4.251
126,Yemen,0.795,4.197
